GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.controller,CardController,0,64,0,0,0,15,0,6,0,6
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.dto,TransactionRequest,0,9,0,0,0,1,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.dto,ErrorResponse,0,26,0,0,0,3,0,2,0,2
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.dto,CardResponse,0,18,0,0,0,1,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.dto,TransactionResponse,0,18,0,0,0,1,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.infrastructure.adapter.rest.dto,CardRequest,0,9,0,0,0,1,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.shared.utils,MessageUtil,0,14,0,0,0,6,0,3,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.enums,CardStatus,0,15,0,0,0,3,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.enums,TransactionType,0,15,0,0,0,3,0,1,0,1
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionBalanceValidationImpl,0,27,1,3,0,5,1,4,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionDuplicationBetweenRangeTimeValidationImpl,0,18,0,0,0,6,0,3,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionValidation,2,0,0,0,1,0,1,0,1,0
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionStatusValidationImpl,1,28,1,5,0,6,1,5,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionDuplicateUnexpectedImpl,1,40,1,5,0,10,1,5,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.domain.service,TransactionLimitInXTimeValidationImpl,0,44,0,2,0,9,0,4,0,3
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.application.template,TopUpTransactionProcessor,2,33,0,0,1,9,1,5,1,5
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.application.template,SpendTransactionProcessor,2,33,0,0,1,9,1,5,1,5
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.application.template,TransactionTemplate,9,35,0,0,2,11,0,4,0,4
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.application.usecase,CardUsecase,5,108,0,0,2,18,0,9,0,9
virtual-card-platform,br.com.rhribeiro25.virtual_card_platform.application.usecase,TransactionUsecase,43,41,2,0,11,9,2,5,1,5
